City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
537,milkovo,RU,54.7167,158.6167,16.56,94,100,1.21,overcast clouds,2022-01-06 23:56:24
538,aksarka,RU,66.5606,67.7975,-14.17,96,100,8.37,overcast clouds,2022-01-06 23:56:25
539,sault sainte marie,CA,46.5168,-84.3333,7.9,83,100,5.91,overcast clouds,2022-01-06 23:55:16
540,birjand,IR,32.8663,59.2211,34.27,75,40,6.91,scattered clouds,2022-01-06 23:51:17
541,bonavista,CA,48.6499,-53.1147,45.12,76,100,31.85,overcast clouds,2022-01-06 23:56:25
542,mitu,CO,1.1983,-70.1733,78.93,64,99,3.13,overcast clouds,2022-01-06 23:56:25
543,havoysund,NO,70.9963,24.6622,23.88,69,99,9.13,overcast clouds,2022-01-06 23:47:38
544,high rock,BS,26.6208,-78.2833,71.62,67,26,6.87,scattered clouds,2022-01-06 23:56:25
545,kendari,ID,-3.945,122.4989,76.78,93,100,1.01,light rain,2022-01-06 23:56:26
546,manta,EC,-0.95,-80.7333,76.78,83,75,8.05,broken clouds,2022-01-06 23:56:26
547,zabol,AF,32.25,67.25,35.24,80,100,14.2,light snow,2022-01-06 23:56:26
548,wanning,CN,18.8003,110.3967,69.69,82,81,8.05,broken clouds,2022-01-06 23:56:27
549,conil,FR,44.9673,3.7177,20.66,91,98,1.57,overcast clouds,2022-01-06 23:56:27
550,entre rios,BR,-11.9419,-38.0844,73.35,87,86,4.97,overcast clouds,2022-01-06 23:56:27
551,taoudenni,ML,22.6783,-3.9836,64.76,19,15,2.59,few clouds,2022-01-06 23:53:29
552,conde,BR,-7.2597,-34.9075,80.06,83,20,5.75,few clouds,2022-01-06 23:57:27
553,mbandaka,CD,0.0487,18.2603,72.39,75,58,3.36,broken clouds,2022-01-06 23:57:28
554,miri,MY,4.4148,114.0089,75.34,100,20,1.14,few clouds,2022-01-06 23:57:28
555,bellary,IN,15.15,76.9333,64.4,92,42,6.24,scattered clouds,2022-01-06 23:57:28
556,nador,MA,35.174,-2.9287,53.85,76,0,3.44,clear sky,2022-01-06 23:57:28
557,ati,TD,13.2154,18.3353,74.3,22,66,7.16,broken clouds,2022-01-06 23:57:29
